Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Dominican Republic,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.82653449487556,42.061278859710185,52.02385229549409
Algeria,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.333631090453146,35.10820279158114,45.88529052437273
Ecuador,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,44.05820531650873,39.038651269777226,48.970945313394346
Eritrea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,24.199134499240937,19.25215930412076,29.59496266523045
Spain,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.866671038539664,33.973992313121585,42.13306880967679
Estonia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,59.10576353733893,54.81571358030975,63.53365640839331
Ethiopia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,19.28625285129018,14.415084391561,24.525481989849958
Finland,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.4722693814179,37.01727728815656,45.65265274129702
Fiji,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.71762905537183,40.32647417737196,50.789830470677444
France,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.96105974069843,47.732241682480876,56.32591445769543
Micronesia (Federated States of),2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,39.793144681088,35.00014920342143,45.55968142865435
Gabon,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,32.609123209164856,26.227903670564757,38.70396937167878
United Kingdom,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.56154406633568,39.22266799026757,49.98699985998376
Georgia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,32.42954483953627,27.704127150771164,36.88170674662668
Ghana,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.55532235680396,39.50285580575006,51.570962394950215
Guinea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,31.148775783059897,26.005592257394976,36.53972524837906
Gambia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,35.990716619039205,30.946249389171278,41.45371923486097
Guinea-Bissau,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,31.195015342212358,25.970621190374636,37.22761529401994
Equatorial Guinea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,33.79347040581311,28.174222281178018,40.996574863626755
Greece,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,48.30326074433729,44.56818852220461,52.19887214576167
Grenada,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.38222372261905,36.14277074935193,46.62293929790042
Greenland,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.05542092554438,32.74977305144362,41.17118226182276
Guatemala,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.157122889927564,39.08613136814807,50.549461531253584
Guam,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.11896628471563,40.56008174143561,49.57218619548092
Guyana,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,38.59066445362572,32.06486013591297,45.62753265961316
Honduras,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.624517148434364,41.374181778368545,51.9366929321902
Croatia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,52.378503261748875,48.02382349356547,56.3274478854408
Haiti,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,35.24368852183946,30.36987042869593,40.139552432909156
Hungary,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,38.40336885001408,33.70387047897642,43.64181518439032
Indonesia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,30.528257664814696,23.98527321697203,36.59841504363054
India,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,33.82512010469721,29.306248897165865,38.54632214108965
Ireland,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.212253072249155,40.15478225289358,49.30329725726087
Iran (Islamic Republic of),2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,44.865386226333776,39.918334825535865,49.58830487495813
Iraq,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.534461545234784,40.52133078077532,51.97821188789924
Iceland,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,60.91517718364601,57.07382540001763,64.62212711839612
Israel,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.99883307682955,39.687150833870135,48.25429789174431
Italy,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.557019060073976,46.16536765594291,52.96586778767687
Jamaica,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.33483000247288,38.2947040523801,48.410439768946226
Jordan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.08763632760918,50.349097798296484,59.80790884607927
Japan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,47.06181290473722,43.65380070924306,50.42246736212756
Kazakhstan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,32.206428322584905,27.998710897074126,36.66947313341164
Kenya,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,25.438988168470615,20.4151088186578,31.143002699554227
Kyrgyzstan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.204324352887596,30.37035267119188,38.37834142414128
Cambodia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,36.476421859693815,30.888644361339416,41.18271270053382
Kiribati,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,32.44615294178534,28.372182486861547,37.33148229763419
Saint Kitts and Nevis,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,42.80087878720861,36.104120805470664,48.41022983913254
Republic of Korea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.95733105065536,43.18388306370227,50.86462105441933
Kuwait,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.74174413671311,51.76619005460087,60.005666146171954
Lao People's Democratic Republic,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,36.07013324289709,30.459266702418393,41.22157346586434
Lebanon,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,60.69562783041123,52.409450070273024,66.96257821813522
Liberia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.79579919510664,29.016434617945514,40.87265075992199
Libya,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,50.4606853589023,44.55752285452431,55.92693902121909
Saint Lucia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.06779813885069,28.115417079019426,39.42713471588654
Sri Lanka,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,53.79690267359918,48.606813308609944,58.623425204526924
Lesotho,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,16.911343335201085,12.920215863575049,21.997172193205124
Lithuania,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.4189979529325,38.07700848102942,48.98476424540691
Luxembourg,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.84652877204767,42.73812590184234,50.65204063496185
